u,u_e,mu,p_e,delta,y
1.0,0.1,0.2,0.1,0.2,0.5
1.0,0.1,0.2,0.1,0.4,0.5009876543209877
1.0,0.1,0.2,0.1,0.5,0.5987654320987654
1.0,0.1,0.2,0.2,0.2,0.503828125
1.0,0.1,0.2,0.2,0.4,0.501953125
1.0,0.1,0.2,0.2,0.5,0.4953515625
1.0,0.1,0.2,0.3,0.0,0.5009183673469388
1.0,0.1,0.2,0.3,0.2,0.0
1.0,0.1,0.2,0.3,0.5,0.22224489795918367
1.0,0.1,0.4,0.05,0.0,0.009418282548476454
1.0,0.1,0.4,0.05,0.2,0.010000000000000002
1.0,0.1,0.4,0.1,0.2,0.5417283950617284
1.0,0.1,0.4,0.1,0.4,0.5009876543209877
1.0,0.1,0.4,0.1,0.5,0.5120987654320988
1.0,0.1,0.4,0.2,0.0,0.5023828125
1.0,0.1,0.4,0.2,0.2,0.48953125000000003
1.0,0.1,0.4,0.2,0.4,0.5176953125
1.0,0.1,0.4,0.3,0.0,0.0008673469387755101
1.0,0.1,0.4,0.3,0.2,0.16576530612244897
1.0,0.1,0.4,0.3,0.4,0.17760204081632652
1.0,0.1,0.5,0.05,0.0,0.10318559556786704
1.0,0.1,0.5,0.05,0.4,0.1686426592797784
1.0,0.1,0.5,0.05,0.5,0.938836565096953
1.0,0.1,0.5,0.1,0.0,0.5074691358024691
1.0,0.1,0.5,0.1,0.2,0.4944753086419753
1.0,0.1,0.5,0.1,0.4,0.5178395061728395
1.0,0.1,0.5,0.2,0.0,0.5205078125
1.0,0.1,0.5,0.2,0.2,0.5176953125
1.0,0.1,0.5,0.2,0.4,0.513203125
1.0,0.1,0.5,0.2,0.5,0.517578125
1.0,0.1,0.5,0.3,0.0,0.5001020408163265
1.0,0.1,0.5,0.3,0.2,0.20903061224489794
1.0,0.1,0.5,0.3,0.4,0.28704081632653056
1.0,0.1,0.5,0.3,0.5,0.15433673469387754
1.0,0.15,0.1,0.05,0.2,0.0
1.0,0.15,0.1,0.05,0.5,0.0
1.0,0.15,0.1,0.1,0.0,0.5000617283950617
1.0,0.15,0.1,0.1,0.2,0.5009876543209877
1.0,0.15,0.1,0.2,0.0,0.5080078125
1.0,0.15,0.1,0.2,0.2,0.517578125
1.0,0.15,0.1,0.3,0.0,0.5004081632653061
1.0,0.15,0.1,0.3,0.2,0.5050000000000001
1.0,0.15,0.1,0.3,0.4,0.25
1.0,0.15,0.1,0.3,0.5,0.18367346938775508
1.0,0.15,0.2,0.1,0.0,0.513888888888889
1.0,0.15,0.2,0.1,0.2,0.6605555555555556
1.0,0.15,0.2,0.1,0.4,0.6088888888888888
1.0,0.15,0.2,0.1,0.5,0.6306172839506172
1.0,0.15,0.2,0.2,0.0,0.506328125
1.0,0.15,0.2,0.2,0.2,0.53125
1.0,0.15,0.2,0.2,0.4,0.4937890625
1.0,0.15,0.2,0.3,0.0,0.5009183673469388
1.0,0.15,0.2,0.3,0.2,0.5
1.0,0.15,0.2,0.3,0.4,0.18367346938775508
1.0,0.15,0.2,0.3,0.5,0.22244897959183674
1.0,0.15,0.4,0.05,0.0,0.002493074792243767
1.0,0.15,0.4,0.05,0.4,0.7269252077562327
1.0,0.15,0.4,0.1,0.0,0.5074691358024691
1.0,0.15,0.4,0.1,0.4,0.5519135802469136
1.0,0.15,0.4,0.1,0.5,0.6422222222222222
1.0,0.15,0.4,0.2,0.0,0.5153125000000001
1.0,0.15,0.4,0.2,0.2,0.5050000000000001
1.0,0.15,0.4,0.2,0.4,0.26910156250000006
1.0,0.15,0.4,0.2,0.5,0.2197265625
1.0,0.15,0.4,0.3,0.0,0.5025510204081632
1.0,0.15,0.4,0.3,0.2,0.5025510204081632
1.0,0.15,0.4,0.3,0.4,0.18367346938775508
1.0,0.15,0.4,0.3,0.5,0.20897959183673467
1.0,0.15,0.5,0.05,0.0,0.7965927977839335
1.0,0.15,0.5,0.05,0.2,0.5013850415512464
1.0,0.15,0.5,0.05,0.4,0.007340720221606648
1.0,0.15,0.5,0.05,0.5,0.8116343490304709
1.0,0.15,0.5,0.1,0.0,0.5155864197530864
1.0,0.15,0.5,0.1,0.2,0.5041049382716049
